Feature,Cluster
ABL1,0
ACOT11,-1
ACOT7,0
ACTN2,0
ACVR1,0
ADAM19,0
ADAMTS12,0
ADAMTS16,-1
ADAMTS20,-1
ADCYAP1,0
ADCYAP1R1,0
ADORA2B,0
ADORA3,0
AHNAK,0
AHRR,0
AIM2,0
AJAP1,0
ALX3,0
ANGPTL2,0
APCS,0
ASPG,0
ATP4A,-1
ATXN1,0
BCAS3,0
BCAT1,-1
BDNF,0
BMP7,0
BNC1,-1
BVES,0
C1QL1,0
C4BPA,0
CA3,0
CACNA1A,0
CACNA1B,0
CACNA1C,0
CACNA1E,-1
CACNA1I,0
CADM3,0
CAPZB,0
CARTPT,0
CAV2,0
CCDC8,0
CCND2,0
CD1B,0
CD1C,0
CD1D,0
CD247,0
CD38,0
CD40,0
CDH23,0
CDH4,0
CDH5,0
CDK2AP1,0
CDK6,0
CDO1,-1
CFTR,0
CHRNA4,0
CHST2,-1
CIT,0
CLDN10,0
CLDN5,0
CLDN6,0
CLEC14A,0
CMKLR1,0
CNGA3,0
COL11A1,-1
COL11A2,0
COL5A2,0
CPEB1,0
CPXM1,-1
CREB3L2,0
CRHBP,0
CRMP1,0
CRTC1,0
CRYM,0
CSMD1,0
CSMD3,0
CUX1,0
CYP1B1,0
CYP26A1,-1
CYTL1,0
CYYR1,0
DAB2,0
DDR2,0
DGKI,0
DLEU7,0
DLK1,0
DNM3,0
DOCK2,0
DPYS,0
DPYSL2,0
DSC3,0
EBF1,0
EEF1A2,0
EFEMP1,0
ENPP2,-1
EOMES,0
EPHA1,0
EPHB1,0
ESRRG,0
EVX1,0
EZR,0
F7,0
FAIM2,0
FAT4,0
FBXO39,0
FCGRT,0
FCRL3,-1
FES,0
FEZF2,0
FGF18,-1
FGF8,-1
FLG,0
FLI1,0
FLRT2,-1
FLT4,0
FMN2,0
FMNL2,-1
FOXA2,0
FOXD3,0
FOXE1,0
FOXG1,0
FOXQ1,0
FRZB,0
GALNT6,0
GALNT7,-1
GALR1,0
GALR3,-1
GAS1,0
GCK,0
GCM2,0
GHSR,-1
GLI2,0
GNG4,0
GRIA1,0
GRIA4,-1
GRIN1,0
GRM1,0
GRM6,0
GSTA4,0
HAPLN4,-1
HCK,0
HOPX,0
HOXA1,0
HOXA10,0
HOXA4,0
HOXA9,0
HOXC4,0
HOXD10,0
HOXD11,0
HOXD8,0
HOXD9,0
HS3ST2,-1
ID4,0
IGF1,0
IGF2BP1,0
IGFBP4,0
INA,0
IRF4,0
IRX1,0
ITGAM,0
ITIH5,-1
ITPKA,0
KCNE3,0
KCNIP4,0
KCNK9,-1
KCNQ1DN,0
KIF5C,0
L1TD1,0
LAMA4,0
LEMD2,0
LEP,0
LEPR,0
LHX1,0
LHX2,0
LHX6,0
LILRA2,-1
LIMD2,0
LNX1,0
LOXL1,0
LOXL2,0
LPAR5,0
LTBP2,0
MAGI2,0
MAML3,0
MAP3K11,0
MAST1,0
MGAT5B,0
MIR124-2,-1
MIR129-2,-1
MIR196A1,-1
MMP9,0
MPZ,0
MSC,0
MYF6,0
MYH11,0
MYT1,-1
MYT1L,-1
NBEAL2,0
NCOR2,0
NDRG2,0
NEFM,0
NES,0
NEUROD1,0
NFIL3,0
NID2,0
NKAPL,0
NKX2-1,0
NKX2-2,0
NKX2-8,0
NKX6-2,0
NLRP3,0
NOTCH3,0
NOX4,0
NPTX2,0
NPY,0
NR1H3,0
NR1I2,0
NR5A2,0
NT5E,0
NTM,0
ONECUT2,0
OPCML,0
OTX1,0
OTX2,0
PACS2,0
PAX2,0
PAX3,0
PAX5,0
PAX6,0
PAX9,0
PBX1,0
PCDH17,0
PCDH8,0
PDE4B,1
PDE4C,-1
PDLIM2,0
PDLIM3,0
PDPN,0
PDX1,0
PENK,-1
PHLDB1,0
PHOX2A,0
PIP4K2A,0
PITX1,0
PITX2,0
PLEKHF1,0
PLTP,-1
PLXNC1,0
PMEPA1,0
POLR1D,0
POU4F1,0
POU4F2,0
PPM1H,0
PPP1R13L,0
PPP1R14A,-1
PPP1R7,0
PRDM13,-1
PRDM14,0
PRDM16,0
PRKCB,0
PROCA1,1
PRR5,0
PTF1A,0
PTN,0
PTPRN2,-1
PTPRO,0
RAB11FIP1,0
RAB22A,0
RAD54B,0
RARB,0
RARRES2,0
RASSF1,0
RBM47,0
RBPMS,0
RECK,0
RFX1,0
RGS12,0
RGS17,0
RGS2,0
RGS20,0
RGS22,1
RGS7,0
RNF216,0
RPTOR,0
RUNX1,0
RUSC1,0
RYR2,0
SALL1,0
SALL2,0
SALL3,0
SCARB2,0
SCT,0
SEMA4A,0
SERPING1,0
SEZ6L2,0
SFRP2,1
SFRP5,0
SGMS1,-1
SH3PXD2A,0
SHF,-1
SHISA3,0
SIAH2,0
SIM1,0
SIX3,0
SIX6,0
SLC12A5,-1
SLC13A5,0
SLC27A3,-1
SLC2A2,-1
SLC39A11,-1
SLC6A3,0
SLITRK1,0
SMYD3,0
SOX1,0
SOX14,0
SOX17,0
SOX8,0
SPAG6,0
SPARC,0
SPTBN1,0
SRGAP3,0
SRRM4,0
SSH1,0
SST,0
SSTR1,0
SSTR4,0
ST7,0
ST8SIA3,1
STAG3,0
STAT5A,0
STIM1,0
SYN2,0
TAC1,-1
TACC1,0
TBL1XR1,0
TBX15,0
TBX18,0
TCERG1L,-1
TCF7L1,0
TCL1A,0
TGFB2,0
TGFBR3,0
TIMP2,0
TLX1,0
TLX2,0
TLX3,0
TMEM45B,0
TNFAIP8L3,0
TNR,-1
TOX2,-1
TRH,0
TRIM71,0
TSSK6,0
TXNRD1,0
UNC5D,0
USP44,0
UTF1,0
VCAM1,1
VGLL4,0
VSTM2A,0
WNT3A,0
WT1,0
WWP2,0
ZBTB46,0
ZFP42,0
ZIC1,0
ZIC4,0
ZIC5,0
ZNF521,0
ZSCAN18,0
AFAP1,-1
AFAP1L1,0
BHLHE23,0
NOL4,0
PLD5,-1
RALYL,0
SPHKAP,0
TMEM132D,0
TMEM196,0
VOPP1,-1
KLHL35,0
MPPED2,0
PRR15,0
